observer,obs_count,city,year
2413893,1,London,2020
2766644,1,London,2020
2785447,1,London,2020
3673870,1,London,2020
2788237,1,London,2020
2788516,1,London,2020
2788542,1,London,2020
2788831,1,London,2020
2791187,1,London,2020
2777317,1,London,2020
2800264,1,London,2020
2774621,1,London,2020
2802130,1,London,2020
2770391,1,London,2020
2803410,1,London,2020
2805954,1,London,2020
2739247,1,London,2020
2765185,1,London,2020
2763644,1,London,2020
2760479,1,London,2020
2807439,1,London,2020
2759239,1,London,2020
2807632,1,London,2020
2757049,1,London,2020
2756302,1,London,2020
2755993,1,London,2020
2747382,1,London,2020
2745022,1,London,2020
2808650,1,London,2020
2740179,1,London,2020
2826800,1,London,2020
2826982,1,London,2020
2839947,1,London,2020
1791315,1,London,2020
1937110,1,London,2020
1929702,1,London,2020
1913260,1,London,2020
1912598,1,London,2020
1912497,1,London,2020
2835068,1,London,2020
1874720,1,London,2020
1847338,1,London,2020
1841092,1,London,2020
1839196,1,London,2020
2835593,1,London,2020
1830243,1,London,2020
1796421,1,London,2020
1769222,1,London,2020
1954595,1,London,2020
2838738,1,London,2020
1761591,1,London,2020
1720817,1,London,2020
1720654,1,London,2020
2784984,1,London,2020
1706831,1,London,2020
1696387,1,London,2020
1690154,1,London,2020
1688995,1,London,2020
2839192,1,London,2020
1680869,1,London,2020
1674955,1,London,2020
2839836,1,London,2020
1938026,1,London,2020
1977020,1,London,2020
2374294,1,London,2020
2112297,1,London,2020
2360496,1,London,2020
2358283,1,London,2020
2827183,1,London,2020
2827231,1,London,2020
2827470,1,London,2020
2179555,1,London,2020
2827853,1,London,2020
2167544,1,London,2020
2149814,1,London,2020
2142376,1,London,2020
2137312,1,London,2020
2133612,1,London,2020
2828096,1,London,2020
2828493,1,London,2020
2832237,1,London,2020
2105193,1,London,2020
2093530,1,London,2020
2828533,1,London,2020
2829228,1,London,2020
2829575,1,London,2020
2829582,1,London,2020
2829695,1,London,2020
2034505,1,London,2020
2030068,1,London,2020
1998857,1,London,2020
2830270,1,London,2020
1985306,1,London,2020
2830983,1,London,2020
3809444,1,London,2020
34687,1109,Los Angeles,2017
21786,1058,Los Angeles,2017
35725,707,Los Angeles,2017
235118,693,Los Angeles,2017
223005,612,Los Angeles,2017
1850,535,Los Angeles,2017
2179,397,Los Angeles,2017
204561,388,Los Angeles,2017
451386,373,Los Angeles,2017
39672,351,Los Angeles,2017
74669,331,Los Angeles,2017
314476,301,Los Angeles,2017
220795,278,Los Angeles,2017
10814,258,Los Angeles,2017
453094,256,Los Angeles,2017
15419,254,Los Angeles,2017
201119,226,Los Angeles,2017
81779,218,Los Angeles,2017
73705,204,Los Angeles,2017
94012,190,Los Angeles,2017
37802,176,Los Angeles,2017
219180,176,Los Angeles,2017
455833,167,Los Angeles,2017
80984,160,Los Angeles,2017
76855,159,Los Angeles,2017
416706,154,Los Angeles,2017
17630,140,Los Angeles,2017
6743,130,Los Angeles,2017
213838,125,Los Angeles,2017
218213,122,Los Angeles,2017
52839,118,Los Angeles,2017
152894,109,Los Angeles,2017
423042,109,Los Angeles,2017
145200,107,Los Angeles,2017
53859,98,Los Angeles,2017
392423,92,Los Angeles,2017
222037,88,Los Angeles,2017
456562,81,Los Angeles,2017
275891,79,Los Angeles,2017
258065,78,Los Angeles,2017
23696,72,Los Angeles,2017
454320,71,Los Angeles,2017
146986,69,Los Angeles,2017
417079,69,Los Angeles,2017
453495,67,Los Angeles,2017
453687,65,Los Angeles,2017
6971,65,Los Angeles,2017
452067,64,Los Angeles,2017
424187,62,Los Angeles,2017
408583,61,Los Angeles,2017
93578,59,Los Angeles,2017
8510,59,Los Angeles,2017
210826,57,Los Angeles,2017
96997,56,Los Angeles,2017
